id,labels,properties
425,['Tag'],{'name': 'Munitions India Limited and Economic Explosives Limited'}
426,['Tag'],{'name': 'Tata Advanced Systems Limited'}
427,['Tag'],{'name': 'Larsen & Toubro'}
428,['Tag'],{'name': 'Department of Defence R&D'}
429,['Tag'],{'name': 'the Indian Army'}
430,['Tag'],{'name': 'France'}
431,['Tag'],{'name': 'guided pinaka rocket'}
432,['Tag'],{'name': 'pinaka mk1 range'}
433,['Tag'],{'name': 'tests guided pinaka'}
434,['Tag'],{'name': 'pinaka rocket defence'}
435,['Tag'],{'name': 'incident saying chatbot'}
436,['Tag'],{'name': '75km guided pinaka'}
437,['Tag'],{'name': 'range pinaka 75km'}
438,['Tag'],{'name': 'pinaka rocket'}
439,['Tag'],{'name': 'extensive testing rockets'}
440,['Tag'],{'name': 'range pinaka'}
441,['Tag'],{'name': 'range rocket artillery'}
442,['Article'],"{'category': 'health', 'createdAt': '2024-11-15T12:55:06.240Z', 'url': 'https://www.thehindu.com/news/national/india-to-seek-designated-pro-khalistan-terrorist-arsh-dallas-extradition-from-canada-mea/article68868563.ece?cx_testId=81&cx_testVariant=cx_1&cx_artPos=0&cx_experienceId=EXPO56ZDYSGX&cx_experienceActionId=showRecommendations7EV8PP8TM51R64#cxrecs_s'}"
443,['Tag'],{'name': 'Arsh Dalla'}
444,['Tag'],{'name': 'Arshdeep Singh Gill'}
445,['Tag'],{'name': 'Jaiswal'}
446,['Tag'],{'name': 'Arsh Singh Gill'}
447,['Tag'],{'name': 'Hardeep Singh Nijjar'}
448,['Tag'],{'name': 'pro-Khalistan'}
449,['Tag'],{'name': 'Canada'}
450,['Tag'],{'name': 'Ontario'}
451,['Tag'],{'name': 'the Ministry of External Affairs'}
452,['Tag'],{'name': 'MEA'}
453,['Tag'],{'name': 'the Khalistan Tiger Force'}
454,['Tag'],{'name': 'KTF'}
455,['Tag'],{'name': 'the Ontario Court'}
456,['Tag'],{'name': 'the Union Home Ministry'}
457,['Tag'],{'name': 'the Mutual Legal Assistance Treaty'}
458,['Tag'],{'name': 'MLAT'}
459,['Tag'],{'name': 'the Department of Justice of Canada'}
460,['Tag'],{'name': 'Babbar Khalsa International'}
461,['Tag'],{'name': 'Khalistan Liberation Force'}
462,['Tag'],{'name': 'International Sikh Youth Federation'}
463,['Tag'],{'name': 'The National Investigation Agency'}
464,['Tag'],{'name': 'NIA'}
465,['Tag'],{'name': 'arsh dalla extradition'}
466,['Tag'],{'name': 'dalla extradition canada'}
467,['Tag'],{'name': 'arsh dalla criminal'}
468,['Tag'],{'name': 'ai chatbot response'}
469,['Tag'],{'name': 'dalla extradition'}
470,['Tag'],{'name': 'offender arsh singh'}
471,['Tag'],{'name': 'extradition canada view'}
472,['Tag'],{'name': 'arsh dalla suspected'}
473,['Tag'],{'name': 'extradition canada'}
474,['Tag'],{'name': 'extradition request said'}
475,['Tag'],{'name': 'murder extortion terrorist'}
476,['Article'],"{'category': 'news and politics', 'createdAt': '2024-11-15T12:55:09.569Z', 'url': 'https://www.thehindu.com/news/international/arsh-dalla-aide-of-hardeep-singh-nijjar-arrested-by-canadian-police/article68852359.ece?cx_testId=81&cx_testVariant=cx_1&cx_artPos=4&cx_experienceId=EXPO56ZDYSGX&cx_experienceActionId=showRecommendations7EV8PP8TM51R64#cxrecs_s'}"
477,['Tag'],{'name': 'Singh Gill'}
478,['Tag'],{'name': 'Surrey BC'}
479,['Tag'],"{'name': ""Arsh Dalla's""}"
480,['Tag'],{'name': 'Kharar'}
481,['Tag'],{'name': 'Gaurav Yadav'}
482,['Tag'],{'name': 'Anmolpreet Singh'}
483,['Tag'],{'name': 'Navjot Singh'}
484,['Tag'],{'name': 'Gill'}
485,['Tag'],{'name': 'Nijjar'}
486,['Tag'],{'name': 'Ontario Province'}
487,['Tag'],{'name': 'Milton'}
488,['Tag'],{'name': 'The Halton Regional Police Service'}
489,['Tag'],{'name': 'Khalistan Tiger Force'}
490,['Tag'],{'name': 'Guelph Police'}
491,['Tag'],{'name': 'Guelph'}
492,['Tag'],{'name': 'Halton'}
493,['Tag'],{'name': 'Halton Hills'}
494,['Tag'],{'name': 'Discharging Firearm'}
495,['Tag'],{'name': 'Punjab Police'}
496,['Tag'],{'name': 'Sikh'}
497,['Tag'],{'name': 'Mohali'}
498,['Tag'],{'name': 'Vishal'}
499,['Tag'],{'name': 'Bhadorh'}
500,['Tag'],{'name': 'Barnala'}
501,['Tag'],{'name': 'Neetu'}
502,['Tag'],{'name': 'The Union Home Ministry'}
503,['Tag'],{'name': 'the National Investigation Agency'}
504,['Tag'],{'name': 'the Unlawful Activities (Prevention) Act'}
505,['Tag'],{'name': 'terrorist arsh dalla'}
506,['Tag'],{'name': 'arsh dalla accused'}
507,['Tag'],{'name': 'reported cbs gemini'}
508,['Tag'],{'name': 'dalla designated terrorist'}
509,['Tag'],{'name': 'designated terrorist arsh'}
510,['Tag'],{'name': 'nijjar designated terrorist'}
511,['Tag'],{'name': 'terrorist arsh'}
512,['Tag'],{'name': 'designated terrorist indian'}
513,['Tag'],{'name': 'arrest shooters arsh'}
514,['Tag'],{'name': 'designated terrorist killed'}
515,['Tag'],{'name': 'terrorist indian'}
